stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,0,akiyo,42,nan,1.0,nan,nan,148.13080360867914,148.13080360867914,4.154269739197065,0.9999999998627149
pre_x264,hqdn3d,,,0,akiyo,42,48.557097,0.992433,nan,nan,46.06876159593847,45.907962974762064,3.6233428711953417,0.6430321917558023
pre_x264,dwt,,,0,akiyo,42,43.168533,0.987149,nan,nan,35.240698081438296,34.23667240157944,4.86666699525711,0.5571229349343718
pre_x264,gaussian,,,0,akiyo,42,33.322017,0.954313,nan,nan,23.999180745507754,30.332736463180275,2.2573519769958725,0.47090338485005767
pre_x264,prop,,,0,akiyo,42,52.745331,0.99828,nan,nan,49.31498714695354,49.372066046654886,4.023386117543095,0.9209542490784435
post_x264,base,100,98.157,0,akiyo,42,39.256091,0.966761,nan,nan,29.202139512769943,34.1085576758247,3.4942563246669356,0.6680374151925658
post_x264,nr,100,98.163,0,akiyo,42,39.225201,0.966537,nan,nan,29.15689028067875,34.058963759027556,3.485699878421536,0.6666491877065345
post_x264,hqdn3d,100,97.741,0,akiyo,42,39.127702,0.96556,nan,nan,29.17057784430353,34.06399634088686,3.475568461469624,0.6483881705334678
post_x264,dwt,100,98.632,0,akiyo,42,38.782359,0.965857,nan,nan,28.796634496833246,33.88261609695717,3.539757255556674,0.5815655192935378
post_x264,gaussian,100,95.706,0,akiyo,42,32.747797,0.936445,nan,nan,23.163341170234368,29.240263109165912,2.300855284223744,0.44194119024066103
post_x264,prop,100,97.787,0,akiyo,42,39.190482,0.966515,nan,nan,29.09141240184654,34.06543636750696,3.4835678979719673,0.6651946611220223
post_x264,base,200,199.737,0,akiyo,42,42.686042,0.980017,nan,nan,34.12097822739175,38.38153936526495,3.6261328837237268,0.7148069341060804
post_x264,nr,200,199.307,0,akiyo,42,42.673485,0.979951,nan,nan,34.12572990370499,38.364599061678895,3.6123754047954635,0.7137922433926838
post_x264,hqdn3d,200,198.766,0,akiyo,42,42.334275,0.977886,nan,nan,34.1700848163079,38.150131725471496,3.584434029176035,0.6787120479463652
post_x264,dwt,200,199.453,0,akiyo,42,41.05069,0.976188,nan,nan,32.50901000897843,36.24282539461321,3.7606659724319607,0.6105624967276809
post_x264,gaussian,200,196.112,0,akiyo,42,33.087449,0.945429,nan,nan,23.714818219112388,29.939425340547206,2.320409885119188,0.4410592276250687
post_x264,prop,200,198.825,0,akiyo,42,42.53113,0.979795,nan,nan,34.02545592035665,38.14083542312453,3.625676169222681,0.7109481357621876
post_x264,base,300,301.202,0,akiyo,42,44.345363,0.9845,nan,nan,36.69633457426333,40.22698042178303,3.7403614879414295,0.751455624659908
post_x264,nr,300,300.358,0,akiyo,42,44.269295,0.984217,nan,nan,36.66929332813409,40.17383299632889,3.7441532573800016,0.7446014261955332
post_x264,hqdn3d,300,298.405,0,akiyo,42,43.778613,0.981931,nan,nan,36.7380005320908,40.0041805546832,3.6560562469937476,0.6925986079953383
post_x264,dwt,300,299.094,0,akiyo,42,41.794524,0.979271,nan,nan,33.77732840717039,35.703633390412655,3.991560956673602,0.6269323870729195
post_x264,gaussian,300,297.647,0,akiyo,42,33.175998,0.947938,nan,nan,23.85371320927313,30.113880097014437,2.387171215546942,0.44372521864275905
post_x264,prop,300,299.918,0,akiyo,42,44.122895,0.984285,nan,nan,36.630494676544394,40.19413198761409,3.7298956166034656,0.7340960263758871
post_x264,base,400,402.093,0,akiyo,42,45.443979,0.987062,nan,nan,38.413222863531665,41.577368290736466,3.880690779262727,0.7644515859504705
post_x264,nr,400,401.314,0,akiyo,42,45.349636,0.986814,nan,nan,38.32703002576501,41.502487112699086,3.8854603831784065,0.7642049140168333
post_x264,hqdn3d,400,398.141,0,akiyo,42,44.671368,0.984223,nan,nan,38.395555919951114,41.14402104311274,3.7103281849502783,0.6970671323073427
post_x264,dwt,400,397.931,0,akiyo,42,42.136875,0.980828,nan,nan,34.31595128449747,35.08890573712403,4.2154140274561795,0.6230381640396637
post_x264,gaussian,400,399.706,0,akiyo,42,33.208498,0.949196,nan,nan,23.89807665314869,30.17407705584534,2.429302246929427,0.4435371039276774
post_x264,prop,400,400.627,0,akiyo,42,45.11222,0.986815,nan,nan,38.280089230846855,41.33561693851105,3.859502777987517,0.7486865549916798
post_x264,base,500,503.466,0,akiyo,42,46.258261,0.988784,nan,nan,39.687973248250074,42.153055228146755,3.9878990713474725,0.78681049297939
post_x264,nr,500,503.252,0,akiyo,42,46.07893,0.988341,nan,nan,39.5843131781348,42.232473461852486,3.9656963320916803,0.7836727533539601
post_x264,hqdn3d,500,498.086,0,akiyo,42,45.289661,0.985685,nan,nan,39.56306849534106,41.8318766518584,3.757226981540208,0.695513786777893
post_x264,dwt,500,497.687,0,akiyo,42,42.332639,0.981815,nan,nan,34.56876221368168,34.718998659589005,4.409518504885511,0.6107347566923699
post_x264,gaussian,500,502.022,0,akiyo,42,33.23119,0.949975,nan,nan,23.93218367034502,30.21762109768615,2.452117338948734,0.4436273963163653
post_x264,prop,500,502.029,0,akiyo,42,45.842068,0.988471,nan,nan,39.54202221214902,42.18006803459714,3.938816205731177,0.7583590730023811
