stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,5,foreman,5786,35.858124,0.914809,nan,nan,32.8024029550859,28.17979351978285,9.652619666347865,0.63774536456584
pre_x264,hqdn3d,,,5,foreman,5786,36.35266,0.922787,nan,nan,32.91214247476725,29.05041699544769,8.671136145158673,0.6996318228252292
pre_x264,dwt,,,5,foreman,5786,36.99759,0.955734,nan,nan,31.011233393408613,30.816797062056818,7.533485752108572,0.7269259521398799
pre_x264,gaussian,,,5,foreman,5786,29.860574,0.905919,nan,nan,22.509300119786356,27.681809523146857,3.364821680257727,0.7416879800104028
pre_x264,prop,,,5,foreman,5786,37.814071,0.9486,nan,nan,34.11047616275711,33.29461680541875,7.545838561067486,0.7947650762026663
post_x264,base,100,97.752,5,foreman,5786,29.341563,0.826338,nan,nan,22.130161384567952,26.85530568608747,4.08932678459568,0.7437947427071158
post_x264,nr,100,97.281,5,foreman,5786,29.303252,0.824703,nan,nan,22.056442211604907,26.804341752677274,4.0634432241154625,0.747388562002122
post_x264,hqdn3d,100,97.82,5,foreman,5786,29.281825,0.825295,nan,nan,22.07269029150758,26.843147596153575,4.04643085408347,0.7400457300001334
post_x264,dwt,100,97.495,5,foreman,5786,29.267255,0.826893,nan,nan,22.11504965139215,26.95058771297752,4.016370854866495,0.685850093062238
post_x264,gaussian,100,97.584,5,foreman,5786,27.748158,0.80972,nan,nan,20.565278541315617,25.333319084778573,3.154072057088045,0.627985445754904
post_x264,prop,100,98.813,5,foreman,5786,29.354226,0.828068,nan,nan,22.097165487236918,26.845657070511425,4.062349835914516,0.738072471103791
post_x264,base,200,197.334,5,foreman,5786,32.805272,0.898298,nan,nan,26.067516736690134,30.608728770861504,4.6664781029424915,0.8369383378820604
post_x264,nr,200,197.191,5,foreman,5786,32.815996,0.898293,nan,nan,26.01523174739859,30.579148493697176,4.632790390057833,0.8300333269165523
post_x264,hqdn3d,200,197.325,5,foreman,5786,32.812134,0.897643,nan,nan,26.101783522658742,30.641370620849262,4.649981721282594,0.8261502122695407
post_x264,dwt,200,196.377,5,foreman,5786,32.436362,0.893212,nan,nan,25.60952653326922,30.356767191824357,4.393508639831314,0.7428583275560601
post_x264,gaussian,200,192.128,5,foreman,5786,28.926463,0.855261,nan,nan,21.632734786636696,26.665987395567864,3.197750095780619,0.6419598402428891
post_x264,prop,200,199.295,5,foreman,5786,32.751446,0.898725,nan,nan,25.850875165486737,30.459638042956783,4.5835998586361955,0.8173759478536983
post_x264,base,300,300.68,5,foreman,5786,34.229342,0.919183,nan,nan,27.933019886609717,32.152467083910146,5.009169573293846,0.9012393446102698
post_x264,nr,300,300.425,5,foreman,5786,34.236772,0.91916,nan,nan,27.9474079791616,32.16315369870493,5.033036958734635,0.9016162558147679
post_x264,hqdn3d,300,301.148,5,foreman,5786,34.287751,0.919587,nan,nan,28.047095862136906,32.26708647116053,5.006052424508094,0.8899505141941435
post_x264,dwt,300,300.923,5,foreman,5786,33.822431,0.915272,nan,nan,27.414910219607762,31.908782403206786,4.620266677363334,0.7682370895398591
post_x264,gaussian,300,290.291,5,foreman,5786,29.284329,0.870764,nan,nan,22.001524064614802,27.084768980575667,3.238906762111704,0.6585076807072612
post_x264,prop,300,302.739,5,foreman,5786,34.197759,0.920779,nan,nan,27.825313989014663,32.10567864058662,4.900849575838674,0.8727194327416268
post_x264,base,400,401.751,5,foreman,5786,34.906511,0.92633,nan,nan,28.911710147182017,32.90017334746678,5.261477739395618,0.947614635469709
post_x264,nr,400,401.253,5,foreman,5786,34.91179,0.926313,nan,nan,28.916200816490267,32.875594840978366,5.285433344379566,0.9481484732881346
post_x264,hqdn3d,400,403.745,5,foreman,5786,35.01519,0.927786,nan,nan,29.0730285508719,33.0334798725325,5.223473267419489,0.9362609197087175
post_x264,dwt,400,406.081,5,foreman,5786,34.592639,0.925892,nan,nan,28.450719870908078,32.77249389279482,4.778882067141516,0.784253936397975
post_x264,gaussian,400,390.26,5,foreman,5786,29.441265,0.878604,nan,nan,22.131486706408158,27.25645822667253,3.2740789574873883,0.6723238032715798
post_x264,prop,400,404.035,5,foreman,5786,34.95059,0.930264,nan,nan,28.80853426353612,32.88866234875745,5.073541740075171,0.9085581317520195
post_x264,base,500,501.998,5,foreman,5786,35.287559,0.928756,nan,nan,29.5264577836603,33.229285255103115,5.529687501747821,0.9821871215673758
post_x264,nr,500,501.492,5,foreman,5786,35.299852,0.92884,nan,nan,29.520485919366088,33.225835646865725,5.512423623695426,0.981841606799598
post_x264,hqdn3d,500,504.906,5,foreman,5786,35.452645,0.931212,nan,nan,29.74658447906358,33.45424551971388,5.423993611362798,0.9723425757056432
post_x264,dwt,500,511.169,5,foreman,5786,35.104635,0.931987,nan,nan,29.10040526296933,33.28902612872295,4.915626347570389,0.7900913738564344
post_x264,gaussian,500,491.667,5,foreman,5786,29.555189,0.883892,nan,nan,22.251932857792664,27.38355388398616,3.3076248241691553,0.6826398318554451
post_x264,prop,500,504.559,5,foreman,5786,35.433407,0.934771,nan,nan,29.501320252309196,33.369239613097385,5.268843239286554,0.9427903983480386
