stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
pre_x264,noisy,,,0,akiyo,,nan,1.0,nan,1.0,148.13080360867914,148.13080360867914,4.154269739197065,0.9999999998627149,0.0
pre_x264,hqdn3d,,,0,akiyo,,48.557097,0.992433,nan,0.998133,46.06876159593847,45.907962974762064,3.6233428711953417,0.6430321917558023,0.16630430802682383
pre_x264,dwt,,,0,akiyo,,43.168533,0.987149,nan,0.997553,35.240698081438296,34.23667240157944,4.86666699525711,0.5571229349343718,0.715974856750159
pre_x264,gaussian,,,0,akiyo,,33.322017,0.954313,nan,0.982336,23.999180745507754,30.332736463180275,2.2573519769958725,0.47090338485005767,3.5625595499294676
pre_x264,prop,,,0,akiyo,,52.859819,0.998289,nan,0.999749,49.50987960710627,49.46710812799497,4.01533281318165,0.9050324718215804,0.10907489217396622
post_x264,base,100,98.157,0,akiyo,,39.256091,0.966761,nan,0.990606,29.202139512769943,34.1085576758247,3.4942563246669356,0.6680374151925658,0.5497657387439954
post_x264,base,200,199.737,0,akiyo,,42.686042,0.980017,nan,0.995701,34.12097822739175,38.38153936526495,3.6261328837237268,0.7148069341060804,0.2519042146415542
post_x264,base,300,301.202,0,akiyo,,44.345363,0.9845,nan,0.997031,36.69633457426333,40.22698042178303,3.7403614879414295,0.751455624659908,0.16203813923958862
post_x264,base,400,402.093,0,akiyo,,45.443979,0.987062,nan,0.997725,38.413222863531665,41.577368290736466,3.880690779262727,0.7644515859504705,0.16166978106992477
post_x264,base,500,503.466,0,akiyo,,46.258261,0.988784,nan,0.998133,39.687973248250074,42.153055228146755,3.9878990713474725,0.78681049297939,0.1295831098035358
post_x264,nr,100,98.163,0,akiyo,,39.225201,0.966537,nan,0.99057,29.15689028067875,34.058963759027556,3.485699878421536,0.6666491877065345,0.5727949066868374
post_x264,nr,200,199.307,0,akiyo,,42.673485,0.979951,nan,0.995646,34.12572990370499,38.364599061678895,3.6123754047954635,0.7137922433926838,0.24855169574591557
post_x264,nr,300,300.358,0,akiyo,,44.269295,0.984217,nan,0.996957,36.66929332813409,40.17383299632889,3.7441532573800016,0.7446014261955332,0.16729926654775376
post_x264,nr,400,401.314,0,akiyo,,45.349636,0.986814,nan,0.997659,38.32703002576501,41.502487112699086,3.8854603831784065,0.7642049140168333,0.16539640540901068
post_x264,nr,500,503.252,0,akiyo,,46.07893,0.988341,nan,0.998025,39.5843131781348,42.232473461852486,3.9656963320916803,0.7836727533539601,0.13709784063468164
post_x264,hqdn3d,100,97.741,0,akiyo,,39.127702,0.96556,nan,0.989921,29.17057784430353,34.06399634088686,3.475568461469624,0.6483881705334678,0.5174428574269374
post_x264,hqdn3d,200,198.766,0,akiyo,,42.334275,0.977886,nan,0.994654,34.1700848163079,38.150131725471496,3.584434029176035,0.6787120479463652,0.26910216754977656
post_x264,hqdn3d,300,298.405,0,akiyo,,43.778613,0.981931,nan,0.995913,36.7380005320908,40.0041805546832,3.6560562469937476,0.6925986079953383,0.21947836988063324
post_x264,hqdn3d,400,398.141,0,akiyo,,44.671368,0.984223,nan,0.996524,38.395555919951114,41.14402104311274,3.7103281849502783,0.6970671323073427,0.19437893302304507
post_x264,hqdn3d,500,498.086,0,akiyo,,45.289661,0.985685,nan,0.996885,39.56306849534106,41.8318766518584,3.757226981540208,0.695513786777893,0.20791837322689397
post_x264,dwt,100,98.632,0,akiyo,,38.782359,0.965857,nan,0.990519,28.796634496833246,33.88261609695717,3.539757255556674,0.5815655192935378,0.7634432333223837
post_x264,dwt,200,199.453,0,akiyo,,41.05069,0.976188,nan,0.994718,32.50901000897843,36.24282539461321,3.7606659724319607,0.6105624967276809,0.604770040789783
post_x264,dwt,300,299.094,0,akiyo,,41.794524,0.979271,nan,0.995816,33.77732840717039,35.703633390412655,3.991560956673602,0.6269323870729195,0.5915841962918578
post_x264,dwt,400,397.931,0,akiyo,,42.136875,0.980828,nan,0.996338,34.31595128449747,35.08890573712403,4.2154140274561795,0.6230381640396637,0.57590175961229
post_x264,dwt,500,497.687,0,akiyo,,42.332639,0.981815,nan,0.996625,34.56876221368168,34.718998659589005,4.409518504885511,0.6107347566923699,0.5987959367471906
