stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
pre_x264,noisy,,,10,foreman,,29.890006,0.785098,nan,0.93591,26.871228186227896,22.273656496148583,15.048199815499961,0.42158509728709953,1.7012112326162536
pre_x264,hqdn3d,,,10,foreman,,29.990982,0.785066,nan,0.936844,26.91713953677867,22.43283155765533,14.49343083380874,0.43372619132017165,1.6644566961623686
pre_x264,dwt,,,10,foreman,,32.885467,0.869796,nan,0.960551,28.258584117509155,25.673671838256343,11.066084170190273,0.6628807231112763,0.6609729033357817
pre_x264,gaussian,,,10,foreman,,29.697357,0.893889,nan,0.959591,22.45052696291191,27.489143416996896,3.6018823478416504,0.870555129027468,3.4787949638264353
pre_x264,prop,,,10,foreman,,34.106446,0.896459,nan,0.962484,29.58683277604312,31.190235332337107,7.879981527274406,0.7424630783145539,0.28564622592082245
post_x264,base,100,97.964,10,foreman,,29.146553,0.817112,nan,0.915161,22.020446653812282,26.626713618529184,4.259799390289943,0.7633693840356097,1.4239245505265044
post_x264,base,200,197.233,10,foreman,,31.771549,0.874005,nan,0.955975,25.23631328697828,29.67969293216748,5.008192385510698,0.9147539875623973,0.7458559780169589
post_x264,base,300,297.454,10,foreman,,32.389446,0.88043,nan,0.960542,26.15938327233333,30.13879229227469,5.669958129187779,0.9558980697288509,0.4554721713750094
post_x264,base,400,396.269,10,foreman,,32.543959,0.87634,nan,0.959804,26.655743734844865,30.04586138337891,6.360511451027439,0.8708541661367604,0.33539641811171944
post_x264,base,500,496.163,10,foreman,,32.570307,0.870526,nan,0.958221,26.93984963063813,29.913406770212212,6.959308194766043,0.8093465048437399,0.24576177402802468
post_x264,nr,100,97.727,10,foreman,,29.120939,0.816329,nan,0.914767,21.992670257483447,26.604328952381806,4.243854215605669,0.7701844586643526,1.3722378678821674
post_x264,nr,200,197.146,10,foreman,,31.760474,0.873986,nan,0.955898,25.255295078040273,29.695439530382025,5.014941628004855,0.914690108494566,0.7554393675895281
post_x264,nr,300,297.435,10,foreman,,32.408291,0.881206,nan,0.960906,26.18679919276649,30.154533896327063,5.6954502580483695,0.9592591240967185,0.45278892131958803
post_x264,nr,400,396.252,10,foreman,,32.566535,0.87639,nan,0.959791,26.683854421691382,30.052529261066248,6.380416902622572,0.8727056793130726,0.32495696898489196
post_x264,nr,500,496.282,10,foreman,,32.575097,0.870557,nan,0.9582,26.928396573532517,29.880614272261823,6.963760095417073,0.8108923444180681,0.2548306743748828
post_x264,hqdn3d,100,97.631,10,foreman,,29.151659,0.816557,nan,0.91536,22.064266162850732,26.690818498855936,4.226781556218329,0.7630685926456313,1.398532658548778
post_x264,hqdn3d,200,197.066,10,foreman,,31.768126,0.873369,nan,0.955918,25.29929510944572,29.715256304338368,5.019515161302952,0.9169868680970279,0.7558662528251783
post_x264,hqdn3d,300,297.558,10,foreman,,32.400871,0.88058,nan,0.960842,26.25300598620186,30.197728612182267,5.659645891361008,0.9604706666458236,0.4565109090155154
post_x264,hqdn3d,400,396.914,10,foreman,,32.572204,0.876674,nan,0.960073,26.660710042703254,30.075868414428463,6.346497580665458,0.8804870488488064,0.3459300875243239
post_x264,hqdn3d,500,496.613,10,foreman,,32.611327,0.871425,nan,0.95867,26.98652022888816,29.9615470277944,6.916952664449031,0.813932953690347,0.2506630520658808
post_x264,dwt,100,97.476,10,foreman,,29.128933,0.819544,nan,0.917287,21.92460553049149,26.663342594204682,4.071853146987595,0.7182661908379097,1.6857649785022644
post_x264,dwt,200,196.732,10,foreman,,31.945436,0.881549,nan,0.96008,25.233912079414814,29.861760022174145,4.646526861919304,0.8031935355762313,1.0540388280523356
post_x264,dwt,300,298.781,10,foreman,,32.852078,0.896638,nan,0.967493,26.50734823468437,30.897769275168134,4.973052643684911,0.8269772211609906,0.8379131040263784
post_x264,dwt,400,401.127,10,foreman,,33.309051,0.901845,nan,0.969623,27.170558910541097,31.338467218789216,5.251449152026914,0.8279648372973936,0.7039575567174785
post_x264,dwt,500,502.837,10,foreman,,33.568445,0.903512,nan,0.970129,27.616969175828157,31.51142746700151,5.554079473094735,0.8258910120216861,0.5745343041460654
