stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,15,foreman,,26.415314,0.688454,nan,nan,23.427268211906643,18.89815219547824,20.567896872588,0.31268573480170414
pre_x264,hqdn3d,,,15,foreman,,26.446587,0.685959,nan,nan,23.44561486176467,18.946986726201597,20.216037601233822,0.3165407124699655
pre_x264,dwt,,,15,foreman,,28.980793,0.760269,nan,nan,25.17107610460415,21.509022468183364,15.907579964582142,0.43568869648810327
pre_x264,gaussian,,,15,foreman,,29.437404,0.876099,nan,nan,22.350643067349388,27.179998066223355,3.9069026243190494,0.9066317717086678
pre_x264,prop,,,15,foreman,,31.922784,0.852102,nan,nan,26.8047505104986,29.071341830214454,8.392706814476437,0.8794598343407108
post_x264,base,100,98.798,15,foreman,,28.720775,0.802171,nan,nan,21.79300906605281,26.266740761301953,4.519514692886785,0.8069770632546299
post_x264,base,200,198.128,15,foreman,,30.441894,0.834471,nan,nan,24.249315054908053,28.40597793426481,5.651098523300559,0.9379167912733987
post_x264,base,300,298.848,15,foreman,,30.624499,0.829288,nan,nan,24.725568028581744,27.94565144347215,7.031921014897033,0.7958082281799133
post_x264,base,400,396.605,15,foreman,,30.530915,0.818803,nan,nan,24.90037228338655,27.086018423446408,8.023074977348232,0.7124375769518124
post_x264,base,500,497.848,15,foreman,,30.351258,0.806331,nan,nan,25.08143255943115,26.139019956509262,8.837076431186173,0.6493842144950206
post_x264,nr,100,98.638,15,foreman,,28.703815,0.800592,nan,nan,21.781627554976197,26.24911822939117,4.446320900379766,0.7937413849941617
post_x264,nr,200,198.383,15,foreman,,30.454407,0.834877,nan,nan,24.191290228347885,28.394716424482617,5.623325906839715,0.9430829076238114
post_x264,nr,300,298.847,15,foreman,,30.6375,0.829352,nan,nan,24.72320401330239,27.962613469704554,7.001555596105013,0.799494448265741
post_x264,nr,400,396.998,15,foreman,,30.522844,0.818387,nan,nan,24.905308137696164,27.07374983647493,8.03408588060841,0.7130478803492193
post_x264,nr,500,498.232,15,foreman,,30.354195,0.806399,nan,nan,25.11056546229563,26.138022478610075,8.831849259832545,0.6509077740314423
post_x264,hqdn3d,100,98.957,15,foreman,,28.720907,0.80148,nan,nan,21.86815268336184,26.33364131159565,4.501560386883788,0.7987700604314759
post_x264,hqdn3d,200,198.048,15,foreman,,30.432756,0.834128,nan,nan,24.222648903708954,28.38345908083953,5.669982722784322,0.9450761107594418
post_x264,hqdn3d,300,299.155,15,foreman,,30.637563,0.829161,nan,nan,24.72969251728319,27.973876179645476,6.98142513346365,0.8013196174835776
post_x264,hqdn3d,400,396.923,15,foreman,,30.525234,0.818198,nan,nan,24.891653856635358,27.003680209232115,8.069705605683076,0.7103031110938961
post_x264,hqdn3d,500,498.578,15,foreman,,30.359115,0.806367,nan,nan,25.09702271344308,26.171142486946096,8.828762587810553,0.6536983392601498
post_x264,dwt,100,98.61,15,foreman,,28.812216,0.808829,nan,nan,21.704544146556056,26.34066383529842,4.22072070371489,0.7527286979903299
post_x264,dwt,200,198.065,15,foreman,,31.00287,0.856781,nan,nan,24.525563580343068,28.989793954808462,5.047581684438516,0.8588489096043798
post_x264,dwt,300,298.832,15,foreman,,31.507904,0.86199,nan,nan,25.338761787498907,29.36687767339524,5.70726108153797,0.8643647366318989
post_x264,dwt,400,399.864,15,foreman,,31.650835,0.858325,nan,nan,25.67130508779371,29.22775502258237,6.392846398998288,0.8592237203912185
post_x264,dwt,500,500.254,15,foreman,,31.658966,0.852971,nan,nan,25.8940940413216,29.066384262951868,6.951033058645705,0.838876010236983
post_x264,gaussian,100,97.09,15,foreman,,27.54087,0.799953,nan,nan,20.424985657380283,25.114215099524806,3.2565468622409024,0.6594921684677398
post_x264,gaussian,200,193.476,15,foreman,,28.535483,0.837085,nan,nan,21.39750919738481,26.31550117563102,3.400898544554068,0.742345451827202
post_x264,gaussian,300,292.543,15,foreman,,28.832663,0.847741,nan,nan,21.718138519410502,26.652294267300626,3.443453330019464,0.7962311673645247
post_x264,gaussian,400,392.362,15,foreman,,29.004774,0.853765,nan,nan,21.908015416218003,26.85172369209062,3.466820445247044,0.8320997337501267
post_x264,gaussian,500,492.952,15,foreman,,29.119728,0.857716,nan,nan,22.038647076316675,26.973182280463668,3.499413654820631,0.858881637778244
post_x264,prop,100,98.211,15,foreman,,28.903505,0.815216,nan,nan,21.773756069164243,26.524826563202005,3.925245668548721,0.6963801395103655
post_x264,prop,200,198.596,15,foreman,,31.051368,0.864387,nan,nan,24.32512727077059,29.07804064387886,4.478490890703827,0.7745544265737082
post_x264,prop,300,299.353,15,foreman,,31.608232,0.872057,nan,nan,25.038890775177734,29.593603600282187,4.819028940079085,0.8297263598848109
post_x264,prop,400,400.669,15,foreman,,31.833883,0.871971,nan,nan,25.402081606330746,29.72511825327152,5.200489884657762,0.8700017802104
post_x264,prop,500,502.548,15,foreman,,31.973092,0.870701,nan,nan,25.72730165252561,29.804660421558868,5.513079304954305,0.8979092362134303
