stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr
pre_x264,noisy,,,0,mobile,,nan,1.0,nan,nan,148.13080360867914,148.13080360867914,19.63955628579538,0.9999999999931154
pre_x264,hqdn3d,,,0,mobile,,48.542703,0.996287,nan,nan,49.70960820146777,46.29197089133975,19.11799736708167,0.9646134683042044
pre_x264,dwt,,,0,mobile,,35.750905,0.983216,nan,nan,30.28628046251021,33.320440671843684,19.139974530744883,0.8206361481105556
pre_x264,gaussian,,,0,mobile,,22.187938,0.766078,nan,nan,15.038318104069601,19.27835693032838,6.435073086904482,0.33777861909516343
pre_x264,prop,,,0,mobile,,48.202276,0.99931,nan,nan,49.57766905270667,49.62503501152068,19.445065420959317,0.9861377731498735
post_x264,base,100,102.462,0,mobile,,21.633568,0.669539,nan,nan,14.894530868302231,18.50206362261353,10.284148316288576,0.5231806920090312
post_x264,base,200,209.282,0,mobile,,25.550424,0.835694,nan,nan,19.389169776560657,22.805888361689636,15.974402821822878,0.7833650314965598
post_x264,base,300,311.021,0,mobile,,27.409838,0.881381,nan,nan,21.80832359933514,25.087452868481428,17.636381236926297,0.8674884209894477
post_x264,base,400,409.77,0,mobile,,28.619836,0.903786,nan,nan,23.34652145684747,26.543030720119294,18.288182206198197,0.9028500038986698
post_x264,base,500,507.27,0,mobile,,29.486431,0.917134,nan,nan,24.423497554664838,27.57055365045561,18.71810109854078,0.9278841669963307
post_x264,nr,100,102.44,0,mobile,,21.612023,0.667779,nan,nan,14.880766927542437,18.485433230773364,10.31680430411535,0.5182740193555438
post_x264,nr,200,209.484,0,mobile,,25.563589,0.835768,nan,nan,19.376822966886685,22.7928212748476,16.04485081119892,0.7838486156571255
post_x264,nr,300,310.877,0,mobile,,27.415719,0.881498,nan,nan,21.823275651443787,25.105926463354074,17.648283941645136,0.8648781739415757
post_x264,nr,400,409.83,0,mobile,,28.614852,0.903669,nan,nan,23.351173707582515,26.54743792608547,18.277030788575118,0.9029078568036076
post_x264,nr,500,507.419,0,mobile,,29.49607,0.917463,nan,nan,24.43318763528931,27.570244522175205,18.724208364444557,0.9289799464758939
post_x264,hqdn3d,100,102.089,0,mobile,,21.612242,0.66831,nan,nan,14.874179894880227,18.485940760611125,10.178948713323713,0.5188485332305531
post_x264,hqdn3d,200,209.371,0,mobile,,25.54851,0.834545,nan,nan,19.369427017605307,22.7882461757213,15.90510390624126,0.7763107127727197
post_x264,hqdn3d,300,310.378,0,mobile,,27.398938,0.880347,nan,nan,21.78364368909039,25.045160852718762,17.573795203907846,0.8642765200932633
post_x264,hqdn3d,400,409.413,0,mobile,,28.59507,0.902405,nan,nan,23.36801925084332,26.549592309791596,18.267474163702364,0.9007455610395021
post_x264,hqdn3d,500,507.398,0,mobile,,29.471443,0.915952,nan,nan,24.436639796127103,27.546896934306268,18.605741976450545,0.923619259065444
post_x264,dwt,100,102.157,0,mobile,,21.612136,0.665415,nan,nan,14.80366449974377,18.472370133257478,9.850582559397967,0.4946278518221894
post_x264,dwt,200,208.103,0,mobile,,25.444687,0.828942,nan,nan,19.106237476357872,22.63043471465562,14.430109923990738,0.6962298230277527
post_x264,dwt,300,308.619,0,mobile,,27.139054,0.873214,nan,nan,21.31527873383074,24.730532556419412,16.01009970273052,0.7683216417318791
post_x264,dwt,400,407.132,0,mobile,,28.216001,0.895481,nan,nan,22.666802388307534,26.02399349058344,16.60397168668971,0.7960050744330089
post_x264,dwt,500,504.23,0,mobile,,28.970984,0.908405,nan,nan,23.613211043523197,26.911468639415357,16.99628566779366,0.8142364601664619
post_x264,gaussian,100,102.914,0,mobile,,20.377642,0.590544,nan,nan,13.59387126021531,17.5065449298963,5.307822429374028,0.29526909039449095
post_x264,gaussian,200,208.646,0,mobile,,21.561196,0.687786,nan,nan,14.53975673837188,18.64811825900099,6.178320104072284,0.32245242091891957
post_x264,gaussian,300,312.243,0,mobile,,21.861703,0.716832,nan,nan,14.827745915170397,18.98652225250922,6.368536720331779,0.3303947162379811
post_x264,gaussian,400,413.177,0,mobile,,21.989324,0.730732,nan,nan,14.938649317102147,19.120203894622772,6.443139485944718,0.3339235977734506
post_x264,gaussian,500,514.077,0,mobile,,22.05293,0.739026,nan,nan,14.984161213976327,19.182290416484342,6.486229380949585,0.33622377444977397
post_x264,prop,100,102.124,0,mobile,,21.616453,0.667889,nan,nan,14.883179370837857,18.497115426659523,10.192717553091827,0.5227892320634041
post_x264,prop,200,209.262,0,mobile,,25.562501,0.835172,nan,nan,19.324186169859463,22.78540719217627,15.890690387750707,0.7742687587809596
post_x264,prop,300,310.517,0,mobile,,27.417806,0.881206,nan,nan,21.793833670195042,25.109197664766818,17.50875007690415,0.8585519711338688
post_x264,prop,400,409.408,0,mobile,,28.599437,0.903377,nan,nan,23.29645764118817,26.515885335047795,18.19767556692339,0.8960637248904946
post_x264,prop,500,507.408,0,mobile,,29.475442,0.917026,nan,nan,24.413043960956248,27.573910602253655,18.612664943664218,0.9213204594525138
