stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
pre_x264,noisy,,,15,mobile,,26.439117,0.858089,nan,0.961199,23.723314013509796,19.325349287723007,29.424306452187988,0.5742932970652361,0.6616093656477453
pre_x264,hqdn3d,,,15,mobile,,26.45656,0.856963,nan,0.961328,23.72045369697012,19.358830806725585,29.16908786962929,0.5786294360227148,0.6572563891482415
pre_x264,dwt,,,15,mobile,,28.213784,0.890554,nan,0.971261,24.192470563709605,21.704761863376618,25.96463675899359,0.7227039148512592,0.21941383730446518
pre_x264,gaussian,,,15,mobile,,22.092897,0.754221,nan,0.895833,14.995334105464455,19.18608039168125,6.903264656182534,0.4939205641775401,4.786619421233262
pre_x264,prop,,,15,mobile,,29.683585,0.915186,nan,0.976754,25.383340216255053,26.850608271303,22.1306864394219,0.8500684509573289,0.16356370409435889
post_x264,base,100,100.926,15,mobile,,21.436746,0.654701,nan,0.848696,14.572721041050215,18.171894285306223,10.292194082295827,0.5289018716304301,2.101208399941215
post_x264,base,200,206.549,15,mobile,,24.927205,0.813507,nan,0.951079,18.77398542056902,22.17032551155216,16.492737322700986,0.8176667543900094,0.8007406426451671
post_x264,base,300,307.563,15,mobile,,26.134371,0.847264,nan,0.964454,20.661646458566757,23.81915666220163,18.800281804758548,0.9427068048091972,0.4530388539947148
post_x264,base,400,407.295,15,mobile,,26.656238,0.856757,nan,0.967672,21.486797024179815,24.437787794820455,19.99709671115921,0.9774934279042283,0.3053562795949296
post_x264,base,500,509.023,15,mobile,,26.954486,0.859776,nan,0.968579,22.009279413824927,24.740770792973144,20.923549030238707,0.9243032281259451,0.20799337374143656
post_x264,nr,100,100.84,15,mobile,,21.41571,0.65359,nan,0.847911,14.599835707623637,18.19708212138609,10.243069363345525,0.5264428670269461,2.08574590883111
post_x264,nr,200,206.27,15,mobile,,24.942501,0.813729,nan,0.951208,18.771800987634553,22.17701256079248,16.552384446276164,0.8196534590639235,0.7874836708356847
post_x264,nr,300,307.74,15,mobile,,26.136005,0.847383,nan,0.96458,20.64826364873534,23.813945136682094,18.811601822488456,0.9428984418408008,0.4450931738481077
post_x264,nr,400,406.908,15,mobile,,26.665291,0.856899,nan,0.967737,21.499580991571857,24.451849514683108,20.00285578130418,0.9754500191897524,0.30192639787833736
post_x264,nr,500,508.966,15,mobile,,26.951021,0.859517,nan,0.968521,22.02217480293967,24.73600358995694,20.926765166895983,0.9231037877755137,0.2081643942513775
post_x264,hqdn3d,100,100.866,15,mobile,,21.440516,0.654432,nan,0.84868,14.566982745644959,18.173007013201197,10.189970526485787,0.5258574541883025,2.1330189529390227
post_x264,hqdn3d,200,206.379,15,mobile,,24.934913,0.813449,nan,0.951238,18.79039448633416,22.18957685660916,16.518635832298624,0.8170787382627629,0.7947941266729059
post_x264,hqdn3d,300,307.406,15,mobile,,26.135162,0.84722,nan,0.964691,20.625060626761886,23.80560167301849,18.71068482618265,0.9401976657983868,0.4630090932898564
post_x264,hqdn3d,400,406.995,15,mobile,,26.648459,0.855871,nan,0.967665,21.480474442436314,24.431467171935502,19.989739183082204,0.978279600216205,0.30175112435648166
post_x264,hqdn3d,500,508.166,15,mobile,,26.95152,0.859429,nan,0.968651,22.026542240116783,24.747380180515954,20.854248344113895,0.9276839863446417,0.21626808715401413
post_x264,dwt,100,100.912,15,mobile,,21.444755,0.654502,nan,0.849756,14.565112915596902,18.22063886277248,9.793211380834927,0.4980201568008057,2.283868071142906
post_x264,dwt,200,205.869,15,mobile,,24.974151,0.8139,nan,0.951895,18.64754804512478,22.15482206968105,15.174319373832454,0.7398466904860151,1.063798200771751
post_x264,dwt,300,306.945,15,mobile,,26.275485,0.852488,nan,0.966864,20.58299509583312,23.96556753380988,17.044643925061802,0.8371016804192978,0.718697127774736
post_x264,dwt,400,407.096,15,mobile,,26.978743,0.868077,nan,0.971921,21.552840500819414,24.841733409809315,18.0119762775177,0.8869212180005792,0.5662040220768381
post_x264,dwt,500,507.527,15,mobile,,27.373446,0.874959,nan,0.973853,22.125886474100128,25.28748460722022,18.739154879358363,0.8980567398985672,0.47339713204899003
post_x264,gaussian,100,101.739,15,mobile,,20.312729,0.584919,nan,0.788934,13.466479591612107,17.381822908759677,5.319625943474054,0.3012398484773558,5.10051290845759
post_x264,gaussian,200,206.038,15,mobile,,21.406082,0.674574,nan,0.865316,14.42446876612049,18.526666958075314,6.265108777419824,0.3431716963913731,4.880778845733936
