stage,method,target_bitrate_kbps,actual_bitrate_kbps,sigma,video,seed,psnr,ssim,vmaf,msssim,epsnr,psnrb,gbim,mepr,strred
pre_x264,noisy,,,0,stefan,,nan,1.0,nan,1.0,148.13080360867914,148.13080360867914,14.824080938191052,0.9999999999915953,0.0
pre_x264,hqdn3d,,,0,stefan,,48.423078,0.994257,nan,0.999094,48.440820386277004,46.08881932526429,14.247225130717764,0.9578056455147621,0.009861272130884184
pre_x264,dwt,,,0,stefan,,36.327633,0.985198,nan,0.99544,30.81887862613969,33.99399801497146,14.705739236288306,0.8202731994654875,0.34769613282275413
pre_x264,gaussian,,,0,stefan,,23.824377,0.812233,nan,0.925584,17.125745775330095,21.095432365829506,5.127536268863453,0.48268707370343683,4.571229762804638
pre_x264,prop,,,0,stefan,,46.792163,0.998653,nan,0.999467,49.86413578750812,49.577581614569496,14.592293448721376,0.9839792831736239,0.027134983012641563
post_x264,base,100,110.037,0,stefan,,23.439849,0.751489,nan,0.89272,17.305022150890522,20.837878816188528,9.337422950181447,0.6700991339291638,1.7775128987554059
post_x264,base,200,216.515,0,stefan,,26.585215,0.859309,nan,0.960398,20.965858614880894,24.42432717316441,12.341588777712978,0.8364554517413629,0.7358603275770134
post_x264,base,300,323.684,0,stefan,,28.505917,0.897003,nan,0.976411,23.246275799328867,26.562446993545695,13.221404407193425,0.8923899234357816,0.4492776058732991
post_x264,base,400,430.136,0,stefan,,29.912979,0.917047,nan,0.983432,24.82344031353696,28.05169886294204,13.711166087752018,0.9223862507282402,0.30341657093059016
post_x264,base,500,535.816,0,stefan,,31.016986,0.929656,nan,0.987273,26.154964623594974,29.295393607310597,13.98239155159251,0.9388189155096546,0.22393470587492809
post_x264,nr,100,110.162,0,stefan,,23.470175,0.754341,nan,0.89482,17.300727228012892,20.8490462750591,9.360740956325484,0.6650038236031486,1.756127311372303
post_x264,nr,200,216.656,0,stefan,,26.590776,0.859363,nan,0.9606,20.98331347658833,24.428519507890737,12.293328498497404,0.8355327085720995,0.7367579398462951
post_x264,nr,300,323.812,0,stefan,,28.499257,0.897039,nan,0.976435,23.226499281407005,26.560681487979032,13.213349761650184,0.8928960692415336,0.4544159302165048
post_x264,nr,400,430.351,0,stefan,,29.915402,0.917067,nan,0.983456,24.845629657619675,28.071494623483925,13.666496744965695,0.9228768192774643,0.3058739016762343
post_x264,nr,500,535.675,0,stefan,,31.010494,0.929622,nan,0.987258,26.126644608830517,29.260598980804424,13.965598122362357,0.9393529016390291,0.22597104653458075
post_x264,hqdn3d,100,110.025,0,stefan,,23.465441,0.75314,nan,0.894409,17.359528282116976,20.892867635398144,9.433328101078953,0.6676856584575186,1.7194239763371273
post_x264,hqdn3d,200,216.238,0,stefan,,26.571996,0.858447,nan,0.960621,20.94813387990751,24.427183680857407,12.246846009969381,0.8312689520061687,0.7340188624431698
post_x264,hqdn3d,300,323.12,0,stefan,,28.490874,0.896025,nan,0.976363,23.219396583445974,26.571123853157008,13.095313001202888,0.8869912351746736,0.4564482466802439
post_x264,hqdn3d,400,429.815,0,stefan,,29.901791,0.916034,nan,0.983397,24.871905876729482,28.105581238430673,13.623895094438774,0.9162924452337518,0.31744279203959913
post_x264,hqdn3d,500,535.199,0,stefan,,30.995172,0.928416,nan,0.987165,26.157215075410857,29.293238680056852,13.957645953824535,0.9340991032288555,0.2228570760787209
post_x264,dwt,100,109.592,0,stefan,,23.417948,0.747593,nan,0.88991,17.225785136501695,20.779104440426135,8.66364237174269,0.6168146362242476,2.0293583798895063
post_x264,dwt,200,216.209,0,stefan,,26.485844,0.85536,nan,0.958492,20.776974208093645,24.319173914317616,11.338766363767995,0.7594442246744164,1.0081252913185768
post_x264,dwt,300,322.328,0,stefan,,28.232177,0.892044,nan,0.974025,22.794200684847965,26.25269220347425,12.176184379126063,0.7985124192884955,0.7400994926237783
post_x264,dwt,400,427.282,0,stefan,,29.456919,0.911632,nan,0.980751,24.203189707544137,27.561879510228504,12.654355854302851,0.8212461102106761,0.6082913867540856
post_x264,dwt,500,531.854,0,stefan,,30.366173,0.92415,nan,0.984532,25.235523045741242,28.51932574320465,12.969218091854794,0.8319401390423152,0.5355789414787708
post_x264,gaussian,100,110.898,0,stefan,,22.375221,0.684728,nan,0.848503,16.061164371307598,19.668679284625647,4.51097157799932,0.40792036228683926,4.683079809569214
post_x264,gaussian,200,218.364,0,stefan,,23.227553,0.749959,nan,0.899675,16.720788763949933,20.55620932894539,5.013863652817265,0.45148798312424065,4.481952878343135
post_x264,gaussian,300,323.916,0,stefan,,23.490354,0.772855,nan,0.911676,16.93193754116042,20.833921819831804,5.182547600351956,0.46523519774591426,4.446185606065345
post_x264,gaussian,400,427.215,0,stefan,,23.599546,0.78375,nan,0.916403,17.010879249410028,20.942681078472717,5.237056360770901,0.4713555389069914,4.44829786721918
post_x264,gaussian,500,530.55,0,stefan,,23.658689,0.790421,nan,0.918855,17.046941229022814,20.995337873775487,5.284005814712887,0.47504262768593797,4.44597246427192
post_x264,prop,100,109.926,0,stefan,,23.451566,0.75213,nan,0.892692,17.317336834861383,20.866187757318457,9.32866968856569,0.6639836506120121,1.7726437928025576
post_x264,prop,200,216.313,0,stefan,,26.548866,0.858497,nan,0.959777,20.95787610483687,24.442108631776353,12.222629657136723,0.8347163633350932,0.7414667444147958
post_x264,prop,300,322.656,0,stefan,,28.43591,0.895781,nan,0.97588,23.195485900662963,26.529126855292724,13.146367505498043,0.8880844848045664,0.46541775983672173
post_x264,prop,400,428.927,0,stefan,,29.831785,0.916334,nan,0.983009,24.854417488401772,28.102108108409816,13.586720537117365,0.9183522588215568,0.32343920178894375
post_x264,prop,500,534.681,0,stefan,,30.916407,0.92915,nan,0.986917,26.1641388429223,29.311062487382113,13.910813482661416,0.9346158878869485,0.24092179601113972
